3
98,35
95,42
4,36
21,29
15,92
86,44
47,9
53,62
42,39
15,9
14,27
15,37
4,29
33,86
74,28
18,50
0,96
29,8
94,30
85,45
58,50
4,68
37,99
8,69
49,49
84,41
39,88
94,38
10,38
24,49
80,37
54,5
68,42
63,58
58,70
83,71
32,11
33,35
50,8
65,78
32,83
71,96
51,32
36,50
14,11
13,88
75,31
97,32
7,57
23,54
67,28
22,82
54,30
62,59
92,29
33,13
48,17
18,1
42,1
77,29
7,17
28,55
98,42
78,96
65,22
66,14
17,92
3,79
7,0
95,93
81,68
19,18
81,6
54,85
48,73
70,0
78,96
56,49
34,42
63,72
9,57
40,54
69,70
17,37
32,17
8,36
3,74
91,58
50,47
95,39
94,46
74,98
58,95
99,27
25,52
56,56
44,1
14,4
85,54
60,80
61,48
89,78
60,19
58,92
88,63
41,1
